date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CA,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DISH,DLTR,EA,EBAY,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HAS,HOLX,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KHC,KLAC,LBTYA,LRCX,MAR,MCHP,MDLZ,MNST,MSFT,MU,MXIM,MYL,NFLX,NVDA,ORLY,PAYX,PCAR,PYPL,QCOM,REGN,ROST,SBUX,SIRI,SNPS,STX,SWKS,SYMC,TMUS,TSLA,TTWO,TXN,ULTA,VOD,VRSK,VRTX,WBA,WDAY,WDC,WYNN,XLNX,XRAY,Port_Ret
2006-08-31,,,,,,,,,,,,,,,,,0.13894592744695422,,,-0.1503445395698476,,,,,,,,,,-0.03336480956877541,,,,,,,,,,,,,,,,,,,-0.11901647920481295,,,,,,,,,,,,,-0.401174168297456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.299081383878756
2006-09-29,,,,,,,,,,,,,,,,,-0.14483173076923073,,,0.06414352420742198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019002375296912177,,,,,,,,,,,,,0.17937545388525766,,,,,,0.016489178976287988,,,,,,,,,,,,,,,,,,,,,-0.02322206095791013,,,,,,,1.2158665007485767
2006-10-31,0.1247462215203774,,,,,,,,,,,,,,,,0.12649332396345758,,,,,,,,,,,,0.017159843264429986,,,,,,,,,,,,,,,,,,,,0.3305084745762712,,,,,,,,,,,,,-0.022475369458128003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.528649877328164
2006-11-30,0.13838748495788233,,,,,,,,,,,,,,,,0.06737367436057373,,,,,,,,,,,,0.08342189160464142,,,,,,,,,,,,,,,,,,,,-0.12556869881710653,,,,,,,,,,,,,-0.11401574803149594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9919720814899002
2006-12-29,,,,,,,0.0647865853658538,-0.0654789449329014,,,,,,,,,-0.042080654587960176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022632674297606847,,,,,,,,,,,,,0.19729825808745094,,,,,,0.0005406866720860659,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9616434150356015
2007-01-31,,,,,,,0.1853972798854686,,,,,,,,,,,,,-0.06692160611854692,,,,,,,,,0.10536547433900156,,,,,,,,,,,,,,,,,,,,0.03917578224370377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19062333510921436,,,9.072805309176827
2007-02-28,,,,,,,-0.008454106280193052,,,,,,,,,,,,,,,,,-0.1301014656144045,,,,,,,,,,,,,,,,,,,,,,,,,-0.17772337821297424,,,,,,,,,,,,,-0.08112365450249437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12278503669231366,,,-10.403752826047597
2007-03-30,,,,,,,-0.03410475030450688,,,,,,,-0.09512652296157476,,,,,,,,,,0.00894245723169429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08228571428571452,,,,,,,,,0.05626708878974207,,,,,,,,,,,,,,,,,,,,,,,,,0.3652797408213848
2007-04-30,,,,,,,,,,,,,,,,,,,,,,,,0.02736030828517011,,,,,,,,,,,,,,,,,,,,,0.11009849000095007,,,,,,,,,,,,0.0898876404494382,,-0.07659313725491068,,,,,,,,,,,,0.14414168937329275,,,,,,,,,,,,,,,,,,,,,,,,,5.897899817078809
2007-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009950248756218971,,,,,,,,,,,,,,0.01708320151851761,,,,,-0.08041504539559019,,,,,,,0.06993591529674004,,,,,,,,,,,,,,0.042183565464863015,,,,,,,,,,,,,,,,,,,,,,,,,0.77674776256623
